episode,tonnage_t,wait_min,fuel_l
84,25340.00,711.08,1386.93
85,24920.00,601.57,1376.74
86,24780.00,621.57,1369.58
87,25060.00,595.66,1393.88
88,26180.00,533.81,1402.95
89,25620.00,532.54,1387.67
90,25340.00,643.02,1363.61
91,25480.00,634.45,1388.99
92,25620.00,529.25,1389.71
93,25480.00,493.67,1389.45
94,25060.00,519.20,1374.08
95,26040.00,538.72,1404.67
96,25340.00,445.54,1392.49
97,26040.00,471.33,1400.46
98,25340.00,644.40,1378.94
99,25480.00,564.92,1396.16
100,25620.00,616.42,1400.81
101,25480.00,585.03,1388.25
102,26460.00,562.81,1395.50
103,25340.00,689.88,1385.86
104,25760.00,534.51,1397.39
105,25620.00,517.68,1382.19
106,25900.00,542.04,1395.12
107,25200.00,607.25,1372.57
108,25620.00,514.11,1386.04
109,25760.00,532.18,1382.73
110,25200.00,484.04,1383.42
111,25480.00,576.38,1368.22
112,25060.00,638.41,1387.65
113,25340.00,562.05,1393.57
114,25480.00,485.44,1399.44
115,25200.00,547.37,1387.19
116,26040.00,537.42,1395.93
117,25340.00,626.86,1382.00
118,25760.00,460.48,1391.14
119,25620.00,543.79,1395.27
120,25620.00,521.75,1393.40
121,25480.00,623.24,1383.03
122,24920.00,650.85,1381.00
123,26040.00,503.63,1388.64
124,25620.00,541.94,1413.43
125,25060.00,574.07,1382.76
126,25480.00,557.47,1372.76
127,26040.00,542.50,1403.41
128,25340.00,694.08,1374.92
129,25060.00,607.20,1388.85
130,24780.00,696.91,1384.30
131,25200.00,514.59,1393.27
132,26180.00,596.02,1406.74
133,26040.00,593.31,1397.80
134,26040.00,597.45,1397.11
135,25200.00,471.82,1370.54
136,25620.00,621.82,1402.22
137,25200.00,569.32,1373.54
138,25340.00,632.75,1367.75
139,25200.00,631.93,1378.90
140,25200.00,639.51,1369.96
141,25200.00,559.48,1387.69
142,26040.00,563.70,1398.59
143,25620.00,558.81,1401.55
144,25340.00,627.84,1393.77
145,25060.00,597.75,1380.45
146,25340.00,614.17,1384.43
147,24920.00,594.94,1381.31
148,25620.00,546.20,1392.22
149,25900.00,574.48,1397.38
150,25620.00,530.75,1394.23
151,25480.00,566.91,1379.97
152,25200.00,556.58,1377.20
153,25900.00,576.68,1392.15
154,25900.00,583.01,1398.05
155,25620.00,633.94,1382.25
156,25480.00,543.91,1381.39
157,25760.00,576.24,1391.41
158,25060.00,652.87,1377.56
159,25480.00,529.82,1374.07
160,25900.00,544.30,1402.85
161,25620.00,526.74,1400.67
162,25200.00,580.58,1377.63
163,25340.00,672.75,1380.05
164,25900.00,563.99,1398.07
165,25340.00,565.73,1386.79
166,25200.00,589.31,1372.38
167,25900.00,497.29,1383.00
168,25340.00,546.17,1377.85
169,25340.00,565.56,1378.93
170,25620.00,486.01,1397.68
171,25340.00,523.83,1400.58
172,26320.00,626.74,1394.28
173,25200.00,515.90,1382.42
174,25760.00,543.99,1387.62
175,25340.00,554.73,1385.12
176,25620.00,579.15,1387.75
177,26320.00,494.31,1421.90
178,25480.00,582.75,1386.52
179,25200.00,589.05,1387.07
180,25620.00,511.92,1395.74
181,25900.00,481.66,1390.24
182,25060.00,532.69,1379.57
183,25900.00,576.55,1385.57
184,25620.00,532.62,1382.22
185,25340.00,580.76,1371.61
186,26040.00,538.92,1386.56
187,25340.00,661.32,1387.04
188,25760.00,577.91,1406.06
189,24640.00,537.95,1382.80
190,25620.00,508.76,1406.57
191,25060.00,537.80,1383.21
192,25340.00,525.32,1385.76
193,25900.00,623.99,1397.72
194,25340.00,589.77,1382.44
195,25760.00,489.34,1395.91
196,25340.00,565.08,1391.42
197,25480.00,691.06,1391.03
198,26180.00,483.70,1421.86
199,25200.00,452.69,1390.30
200,25060.00,626.78,1392.98
201,25620.00,497.85,1394.77
202,25340.00,626.11,1367.54
203,25060.00,509.82,1383.29
204,24920.00,532.26,1386.34
205,26180.00,519.60,1415.16
206,25480.00,482.26,1398.80
207,25760.00,600.89,1403.19
208,25340.00,578.97,1379.81
209,25060.00,603.19,1379.27
210,25340.00,488.41,1380.41
211,26040.00,529.70,1413.02
212,25200.00,571.87,1378.78
213,26180.00,531.90,1414.43
214,25340.00,555.93,1387.14
215,25480.00,552.75,1388.86
216,24640.00,631.18,1351.14
217,25900.00,539.52,1406.12
218,25620.00,572.69,1375.82
219,25760.00,607.92,1392.92
220,25480.00,556.94,1376.16
221,25620.00,490.13,1397.89
222,25340.00,612.23,1390.21
223,25060.00,662.06,1377.64
224,25060.00,590.13,1395.97
225,25060.00,548.24,1385.14
226,25480.00,501.53,1375.20
227,24920.00,640.88,1386.92
228,25200.00,567.89,1381.26
229,25620.00,549.30,1397.09
230,26180.00,500.88,1430.03
231,25620.00,526.29,1393.23
232,25760.00,512.67,1395.62
233,25340.00,498.28,1393.64
234,25480.00,541.07,1395.54
235,25900.00,601.00,1393.35
236,25200.00,543.17,1376.66
237,24920.00,553.38,1381.50
238,24780.00,500.33,1371.47
239,25480.00,541.73,1395.14
240,25480.00,510.28,1387.59
241,25620.00,511.05,1394.74
242,25340.00,524.29,1398.63
243,25200.00,493.86,1389.36
244,25620.00,519.30,1381.18
245,26180.00,505.02,1400.39
246,25480.00,529.64,1397.63
247,25060.00,491.50,1372.27
248,25900.00,477.08,1394.74
249,24920.00,558.34,1378.41
250,25340.00,598.78,1387.98
251,25900.00,545.39,1413.57
252,25340.00,585.92,1387.32
253,25760.00,474.67,1384.40
254,24780.00,688.02,1377.88
255,25340.00,552.53,1371.81
256,25340.00,578.59,1388.60
257,25900.00,517.14,1396.92
258,25760.00,575.75,1410.94
259,24780.00,585.12,1368.99
260,26040.00,501.40,1410.51
261,25480.00,598.99,1386.53
262,24780.00,528.68,1387.46
263,25340.00,674.58,1385.09
